"Domain","OriginalOrder","Title","SourceFile","SlugOverride","ExpectedPath"
"components","","Link cards","components/link-card.mdx","","/components/link-card"
"components","","Overview","components/overview.mdx","","/components/overview"
"components","","Steps","components/steps.mdx","","/components/steps"
"components","","Tabs","components/tabs.mdx","","/components/tabs"
"components","30","30個核心概念","components/30.mdx","","/components/30"
"concept","1","01 第一性原理的經典萃取 (Classics First Principles Extraction)","concept/01-第一性原理的經典萃取.md","","/concept/01-第一性原理的經典萃取"
"concept","2","02 以簡馭繁的模型化原則 (Managing Complexity with Models)","concept/02-以簡馭繁的模型化原則.md","","/concept/02-以簡馭繁的模型化原則"
"concept","3","03 符號化能量共振原則 (Symbolic Energy Resonance Principle)","concept/03-符號化能量共振原則.md","","/concept/03-符號化能量共振原則"
"concept","4","04 時間全息規律的世界映射 (Holographic Law of World Mapping)","concept/04-全息規律的世界映射.md","","/concept/04-全息規律的世界映射"
"concept","5","05 空間全息映射規律 (Spatial Holographic Mapping)","concept/05-空間全息映射規律.md","","/concept/05-空間全息映射規律"
"concept","6","06 奧卡姆剃刀法則的有效性 (Validity of Occam's Razor Law)","concept/06-奧卡姆剃刀法則的有效性.md","","/concept/06-奧卡姆剃刀法則的有效性"
"concept","7","07 跨尺度技術搭配原則 (Cross-Scale Technology Combination)","concept/07-跨尺度技術搭配原則.md","","/concept/07-跨尺度技術搭配原則"
"concept","8","08 常變原則的擬合規律 (Constancy and Change Principle)","concept/08-常變原則的擬合規律.md","","/concept/08-常變原則的擬合規律"
"concept","9","09 以外揣內與不可見本質的驗證 (Observing External to Verify Invisible Essence)","concept/09-以外揣內與不可見本質的驗證.md","","/concept/09-以外揣內與不可見本質的驗證"
"concept","10","10 正確歷法的時間刻度規律 (Laws of Correct Calendar and Time Scale)","concept/10-正確歷法的時間刻度規律.md","","/concept/10-正確歷法的時間刻度規律"
"concept","11","11 年尺度陰陽時間模型 (Annual Yin-Yang Time Model)","concept/11-年尺度陰陽時間模型.md","","/concept/11-年尺度陰陽時間模型"
"concept","12","12 日尺度陰陽時間模型 (Daily Yin-Yang Time Model)","concept/12-日尺度陰陽時間模型.md","","/concept/12-日尺度陰陽時間模型"
"concept","13","13 人體陰陽空間幾何對稱模型 (Human Yin-Yang Spatial Symmetry Model)","concept/13-人體陰陽空間幾何對稱模型.md","","/concept/13-人體陰陽空間幾何對稱模型"
"concept","14","14 天地的陰陽空間模型 (Heaven-Earth Yin-Yang Spatial Model)","concept/14-天地的陰陽空間模型.md","","/concept/14-天地的陰陽空間模型"
"concept","15","15 四象時間模型（陰陽互含規律） (Four Images Temporal Model)","concept/15-四象時間模型（陰陽互含規律）.md","","/concept/15-四象時間模型（陰陽互含規律）"
"concept","16","16 月相四象變化模型 (Moon Phase Four Images Model)","concept/16-月相四象變化模型.md","","/concept/16-月相四象變化模型"
"concept","17","17 五行相生年尺度模型 (Five Elements Generation Annual Model)","concept/17-五行相生年尺度模型.md","","/concept/17-五行相生年尺度模型"
"concept","18","18 天干十日五行時間週期模型 (Heavenly Stems 10-Day Five Elements Model)","concept/18-天干十日五行時間週期模型.md","","/concept/18-天干十日五行時間週期模型"
"concept","19","19 五行中土空間模型 (Five Elements Center Earth Spatial Model)","concept/19-五行中土空間模型.md","","/concept/19-五行中土空間模型"
"concept","20","20 五行相剋洛書一筆畫模型 (Five Elements Restriction Model)","concept/20-五行相剋洛書一筆畫模型.md","","/concept/20-五行相剋洛書一筆畫模型"
"concept","21","21 五行互含模型（體質與藥精細分） (Five Elements Mutual Inclusion Model)","concept/21-五行互涵模型（體質與藥精細分）.md","","/concept/21-五行互涵模型（體質與藥精細分）"
"concept","22","22 三陰三陽時間尺度變化模型 (Three Yin Three Yang Guest Qi Model)","concept/22-三陰三陽年尺度客氣變化模型.md","","/concept/22-三陰三陽年尺度客氣變化模型"
"concept","23","23 三陰三陽年尺度主氣模型 (Three Yin Three Yang Host Qi Model)","concept/23-三陰三陽年尺度主氣模型.md","","/concept/23-三陰三陽年尺度主氣模型"
"concept","24","24 三陰三陽地支十二日時間模型 (Three Yin Three Yang 12-Day Model)","concept/24-三陰三陽地支十二日時間模型.md","","/concept/24-三陰三陽地支十二日時間模型"
"concept","25","25 三陰三陽日尺度預解時模型 (Three Yin Three Yang Daily Desired Relief Model)","concept/25-三陰三陽日尺度預解時模型.md","","/concept/25-三陰三陽日尺度預解時模型"
"concept","26","26 三陰三陽人體空間分佈模型（陰陽離合規律） (Three Yin Three Yang Human Spatial Distribution Model)","concept/26-三陰三陽人體空間分佈模型（陰陽離合規律）.md","","/concept/26-三陰三陽人體空間分佈模型（陰陽離合規律）"
"concept","27","27 二十四節氣拆分模型 (24 Solar Terms Splitting Model)","concept/27-二十四節氣拆分模型.md","","/concept/27-二十四節氣拆分模型"
"concept","28","28 五六相合時空整合模型 (Five-Six Integration Model)","concept/28-五六相合時空整合模型.md","","/concept/28-五六相合時空整合模型"
"concept","29","29 九宮八風空間與診法模型 (Nine Palaces and Eight Winds Model)","concept/29-九宮八風空間與診法模型.md","","/concept/29-九宮八風空間與診法模型"
"concept","30","30 能量運動的疊加與干預原則 (Energy Superposition and Intervention Principle)","concept/30-能量運動的疊加與干預原則.md","","/concept/30-能量運動的疊加與干預原則"
"drug_concept","1","01 本草漁網與正本清源","drug_concept/01-本草漁網與正本清源.md","","/drug_concept/01-本草漁網與正本清源"
"drug_concept","2","02 本草求真的三維符號化收斂","drug_concept/02-本草求真的三維符號化收斂.md","","/drug_concept/02-本草求真的三維符號化收斂"
"drug_concept","3","03 臟腑辨證興起與三陰三陽退隱","drug_concept/03-臟腑辨證興起與三陰三陽退隱.md","","/drug_concept/03-臟腑辨證興起與三陰三陽退隱"
"drug_concept","4","04 六淫痰積氣血與標本主次","drug_concept/04-六淫痰積氣血與標本主次.md","","/drug_concept/04-六淫痰積氣血與標本主次"
"drug_concept","5","05 多標籤藥物與選方困境","drug_concept/05-多標籤藥物與選方困境.md","","/drug_concept/05-多標籤藥物與選方困境"
"drug_concept","6","06 AI輔助古籍因果提取法","drug_concept/06-AI輔助古籍因果提取法.md","","/drug_concept/06-AI輔助古籍因果提取法"
"drug_concept","7","07 內經時空模型作為藥物總座標","drug_concept/07-內經時空模型作為藥物總座標.md","","/drug_concept/07-內經時空模型作為藥物總座標"
"drug_concept","8","08 朱進忠臨床用藥三十三視角","drug_concept/08-朱進忠臨床用藥三十三視角.md","","/drug_concept/08-朱進忠臨床用藥三十三視角"
"drug_concept","9","09 症狀專病辨證的捷徑與限制","drug_concept/09-症狀專病辨證的捷徑與限制.md","","/drug_concept/09-症狀專病辨證的捷徑與限制"
"drug_concept","10","10 藥量辨證與經方劑量設計","drug_concept/10-藥量辨證與經方劑量設計.md","","/drug_concept/10-藥量辨證與經方劑量設計"
"drug_concept","11","11 比例辨證與方中作用層位","drug_concept/11-比例辨證與方中作用層位.md","","/drug_concept/11-比例辨證與方中作用層位"
"drug_concept","12","12 神農本草經破解總綱","drug_concept/12-神農本草經破解總綱.md","","/drug_concept/12-神農本草經破解總綱"
"drug_concept","13","13 藥名之象與命名推理","drug_concept/13-藥名之象與命名推理.md","","/drug_concept/13-藥名之象與命名推理"
"drug_concept","14","14 五氣五味與性味定位","drug_concept/14-五氣五味與性味定位.md","","/drug_concept/14-五氣五味與性味定位"
"drug_concept","15","15 形體之體與以形治形","drug_concept/15-形體之體與以形治形.md","","/drug_concept/15-形體之體與以形治形"
"drug_concept","16","16 升降浮沉與春夏秋冬","drug_concept/16-升降浮沉與春夏秋冬.md","","/drug_concept/16-升降浮沉與春夏秋冬"
"drug_concept","17","17 清濁密度與起效速度","drug_concept/17-清濁密度與起效速度.md","","/drug_concept/17-清濁密度與起效速度"
"drug_concept","18","18 採收時節與天地禀賦","drug_concept/18-採收時節與天地禀賦.md","","/drug_concept/18-採收時節與天地禀賦"
"drug_concept","19","19 徐靈胎因果箭頭解讀法","drug_concept/19-徐靈胎因果箭頭解讀法.md","","/drug_concept/19-徐靈胎因果箭頭解讀法"
"drug_concept","20","20 本草綱領的分類框架驗證","drug_concept/20-本草綱領的分類框架驗證.md","","/drug_concept/20-本草綱領的分類框架驗證"
"drug_concept","21","21 內經病症規則庫與以經解經","drug_concept/21-內經病症規則庫與以經解經.md","","/drug_concept/21-內經病症規則庫與以經解經"
"drug_concept","22","22 張志聰本草崇原與禀賦提煉","drug_concept/22-張志聰本草崇原與禀賦提煉.md","","/drug_concept/22-張志聰本草崇原與禀賦提煉"
"drug_concept","23","23 白朮補益脾土與標本分層","drug_concept/23-白朮補益脾土與標本分層.md","","/drug_concept/23-白朮補益脾土與標本分層"
"drug_concept","24","24 甘草五臟六腑與不偏之性","drug_concept/24-甘草五臟六腑與不偏之性.md","","/drug_concept/24-甘草五臟六腑與不偏之性"
"drug_concept","25","25 桂枝枝形通道與上下氣交通","drug_concept/25-桂枝枝形通道與上下氣交通.md","","/drug_concept/25-桂枝枝形通道與上下氣交通"
"drug_concept","26","26 黃芩陽明太陰與清熱範圍","drug_concept/26-黃芩陽明太陰與清熱範圍.md","","/drug_concept/26-黃芩陽明太陰與清熱範圍"
"drug_concept","27","27 附子細辛與少陰太陽標本","drug_concept/27-附子細辛與少陰太陽標本.md","","/drug_concept/27-附子細辛與少陰太陽標本"
"drug_concept","28","28 葛根杜仲與形態經脈推演","drug_concept/28-葛根杜仲與形態經脈推演.md","","/drug_concept/28-葛根杜仲與形態經脈推演"
"drug_concept","29","29 神農本草三百六十味的時空分佈","drug_concept/29-神農本草三百六十味的時空分佈.md","","/drug_concept/29-神農本草三百六十味的時空分佈"
"drug_concept","30","30 醫家取舍與經典自洽判準","drug_concept/30-醫家取舍與經典自洽判準.md","","/drug_concept/30-醫家取舍與經典自洽判準"
"index.mdx","","Overview","index.mdx","","/index"
"jingfang_concept","1","01 經方之經的古天文幾何軌道本質","jingfang_concept/01-經方之經的古天文幾何軌道本質.md","","/jingfang_concept/01-經方之經的古天文幾何軌道本質"
"jingfang_concept","2","02 十六字食療之秘與物成味定原則","jingfang_concept/02-十六字食療之秘與物成味定原則.md","","/jingfang_concept/02-十六字食療之秘與物成味定原則"
"jingfang_concept","3","03 五味中土空間模型與五入親和性","jingfang_concept/03-五味中土空間模型與五入親和性.md","","/jingfang_concept/03-五味中土空間模型與五入親和性"
"jingfang_concept","4","04 天干配五行之時間雙向調控模型","jingfang_concept/04-天干配五行之時間雙向調控模型.md","","/jingfang_concept/04-天干配五行之時間雙向調控模型"
"jingfang_concept","5","05 空間模型之克位與扶位矩陣向量","jingfang_concept/05-空間模型之克位與扶位矩陣向量.md","","/jingfang_concept/05-空間模型之克位與扶位矩陣向量"
"jingfang_concept","6","06 藏氣法時論天干五行望相衰求死週期","jingfang_concept/06-藏氣法時論天干五行望相衰求死週期.md","","/jingfang_concept/06-藏氣法時論天干五行望相衰求死週期"
"jingfang_concept","7","07 五臟五欲與時間模型補瀉聖化規則","jingfang_concept/07-五臟五欲與時間模型補瀉聖化規則.md","","/jingfang_concept/07-五臟五欲與時間模型補瀉聖化規則"
"jingfang_concept","8","08 緩急收散之五苦時間干預模型","jingfang_concept/08-緩急收散之五苦時間干預模型.md","","/jingfang_concept/08-緩急收散之五苦時間干預模型"
"jingfang_concept","9","09 司天與在泉的摩天輪六氣輪轉機制","jingfang_concept/09-司天與在泉的摩天輪六氣輪轉機制.md","","/jingfang_concept/09-司天與在泉的摩天輪六氣輪轉機制"
"jingfang_concept","11","11 歲運司天輪值之土地物候味道偏向性","jingfang_concept/11-歲運司天輪值之土地物候味道偏向性.md","","/jingfang_concept/11-歲運司天輪值之土地物候味道偏向性"
"jingfang_concept","12","12 六氣 X 七大運動家族","jingfang_concept/12-六氣X七大運動家族.md","","/jingfang_concept/12-六氣X七大運動家族"
"jingfang_concept","13","13 司天六氣所勝的治味結構","jingfang_concept/13-司天六氣所勝的治味結構.md","","/jingfang_concept/13-司天六氣所勝的治味結構"
"jingfang_concept","14","14 在泉六氣淫於內的治法結構","jingfang_concept/14-在泉六氣淫於內的治法結構.md","","/jingfang_concept/14-在泉六氣淫於內的治法結構"
"jingfang_concept","15","15 邪氣反勝於地的治法結構","jingfang_concept/15-邪氣反勝於地的治法結構.md","","/jingfang_concept/15-邪氣反勝於地的治法結構"
"jingfang_concept","16","16 司天邪勝的治法結構","jingfang_concept/16-司天邪勝的治法結構.md","","/jingfang_concept/16-司天邪勝的治法結構"
"jingfang_concept","17","17 六氣之勝的治法結構","jingfang_concept/17-六氣之勝的治法結構.md","","/jingfang_concept/17-六氣之勝的治法結構"
"jingfang_concept","18","18 六氣之復的治法結構","jingfang_concept/18-六氣之復的治法結構.md","","/jingfang_concept/18-六氣之復的治法結構"
"jingfang_concept","19","19 六氣之客的治法結構","jingfang_concept/19-六氣之客的治法結構.md","","/jingfang_concept/19-六氣之客的治法結構"
"jingfang_concept","20","20 五行位之主與三陰三陽主氣時間先後治法","jingfang_concept/20-五行位之主與三陰三陽主氣時間先後治法.md","","/jingfang_concept/20-五行位之主與三陰三陽主氣時間先後治法"
"jingfang_concept","21","21 客氣值日補瀉與辛酸化甘口訣源頭","jingfang_concept/21-客氣值日補瀉與辛酸化甘口訣源頭.md","","/jingfang_concept/21-客氣值日補瀉與辛酸化甘口訣源頭"
"jingfang_concept","22","22 《六元正紀大論》六十甲子食療生數成數模型導論與核心定義","jingfang_concept/22-《六元正紀大論》六十甲子食療生數成數模型導論與核心定義.md","","/jingfang_concept/22-《六元正紀大論》六十甲子食療生數成數模型導論與核心定義"
"jingfang_concept","23","23 天之氣與地之氣的時空模型選用總綱","jingfang_concept/23-2天之氣與地之氣的時空模型選用總綱.md","","/jingfang_concept/23-2天之氣與地之氣的時空模型選用總綱"
"Mirror_Classic _of_Bian_Que","1","01 氣真的可以被測量嗎？《扁鵲鏡經》的第一把鑰匙 (Can Qi Be Measured?)","Mirror_Classic _of_Bian_Que/01-氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙.md","","/Mirror_Classic _of_Bian_Que/01-氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙"
"Mirror_Classic _of_Bian_Que","2","02 一呼一吸之間：什麼叫「平人一息」？ (The Baseline Breath)","Mirror_Classic _of_Bian_Que/02-一呼一吸之間-什麼叫平人一息.md","","/Mirror_Classic _of_Bian_Que/02-一呼一吸之間-什麼叫平人一息"
"Mirror_Classic _of_Bian_Que","3","03 一息脈五動、氣行六寸：古人怎樣把氣化變成數字？ (Five Pulses, Six Cun)","Mirror_Classic _of_Bian_Que/03-一息脈五動氣行六寸-古人怎樣把氣化變成數字.md","","/Mirror_Classic _of_Bian_Que/03-一息脈五動氣行六寸-古人怎樣把氣化變成數字"
"Mirror_Classic _of_Bian_Que","4","04 「寸」不是公分：骨度如何成為人體自己的尺？ (Body-Proportional Measure)","Mirror_Classic _of_Bian_Que/04-寸不是公分-骨度如何成為人體自己的尺.md","","/Mirror_Classic _of_Bian_Que/04-寸不是公分-骨度如何成為人體自己的尺"
"Mirror_Classic _of_Bian_Que","5","05 從六寸到二十二丈三尺六寸：氣如何走完人體一周？ (From One Breath to One Circuit)","Mirror_Classic _of_Bian_Que/05-從六寸到二十二丈三尺六寸-氣如何走完人體一周.md","","/Mirror_Classic _of_Bian_Que/05-從六寸到二十二丈三尺六寸-氣如何走完人體一周"
"Mirror_Classic _of_Bian_Que","6","06 人體為什麼要和一天對時？十二辰、百刻與五十營 (Synchronizing Body and Day)","Mirror_Classic _of_Bian_Que/06-人體為什麼要和一天對時-十二辰百刻與五十營.md","","/Mirror_Classic _of_Bian_Que/06-人體為什麼要和一天對時-十二辰百刻與五十營"
"Mirror_Classic _of_Bian_Que","7","07 脈為什麼有快慢長短？一動一寸五分的意義 (Speed and Length of the Pulse)","Mirror_Classic _of_Bian_Que/07-脈為什麼有快慢長短-一動一寸五分的意義.md","","/Mirror_Classic _of_Bian_Que/07-脈為什麼有快慢長短-一動一寸五分的意義"
"Mirror_Classic _of_Bian_Que","8","08 音、息、脈其實是同一件事的不同投影 (Different Projections of One Process)","Mirror_Classic _of_Bian_Que/08-音息脈其實是同一件事的不同投影.md","","/Mirror_Classic _of_Bian_Que/08-音息脈其實是同一件事的不同投影"
"Mirror_Classic _of_Bian_Que","9","09 人為什麼有自己的「稟音」？ (The Inherited Voice)","Mirror_Classic _of_Bian_Que/09-人為什麼有自己的稟音.md","","/Mirror_Classic _of_Bian_Que/09-人為什麼有自己的稟音"
"Mirror_Classic _of_Bian_Que","10","10 甬、宮、商、角、徵、羽、穌：人體聲音的七層尺度 (Seven Tonal Measures)","Mirror_Classic _of_Bian_Que/10-甬宮商角徵羽穌-人體聲音的七層尺度.md","","/Mirror_Classic _of_Bian_Que/10-甬宮商角徵羽穌-人體聲音的七層尺度"
"Mirror_Classic _of_Bian_Que","11","11 一音十分：正、少、眾、開、判、質、虞、加、太、上 (Ten Degrees of One Tone)","Mirror_Classic _of_Bian_Que/11-一音十分-正少眾開判質虞加太上.md","","/Mirror_Classic _of_Bian_Que/11-一音十分-正少眾開判質虞加太上"
"Mirror_Classic _of_Bian_Que","12","12 古人的音高不是高低而已：十分度究竟在量什麼？ (What Do the Ten Degrees Measure?)","Mirror_Classic _of_Bian_Que/12-古人的音高不是高低而已-十分度在量什麼.md","","/Mirror_Classic _of_Bian_Que/12-古人的音高不是高低而已-十分度在量什麼"
"Mirror_Classic _of_Bian_Que","13","13 安、孚、躬、彁、執、淩、解、變、隨、盉從哪裡來？ (The Ten Transformation Tones)","Mirror_Classic _of_Bian_Que/13-安孚躬彁執淩解變隨盉從哪裡來.md","","/Mirror_Classic _of_Bian_Que/13-安孚躬彁執淩解變隨盉從哪裡來"
"Mirror_Classic _of_Bian_Que","14","14 為什麼同一個「安」還要分左右？ (Same Tone, Different Side)","Mirror_Classic _of_Bian_Que/14-為什麼同一個安還要分左右.md","","/Mirror_Classic _of_Bian_Que/14-為什麼同一個安還要分左右"
"Mirror_Classic _of_Bian_Que","15","15 從十音到兩千一百音：為什麼《鏡經》需要這麼大的狀態空間？ (A Large State Space)","Mirror_Classic _of_Bian_Que/15-從十音到兩千一百音-為什麼需要這麼大的狀態空間.md","","/Mirror_Classic _of_Bian_Que/15-從十音到兩千一百音-為什麼需要這麼大的狀態空間"
"Mirror_Classic _of_Bian_Que","16","16 六十首到底是什麼？它不是六十首音樂 (What Are the Sixty Shou?)","Mirror_Classic _of_Bian_Que/16-六十首到底是什麼-它不是六十首音樂.md","","/Mirror_Classic _of_Bian_Que/16-六十首到底是什麼-它不是六十首音樂"
"Mirror_Classic _of_Bian_Que","17","17 十二律為什麼會進入人體？六經與十二律的配對 (Twelve Lü and Six Channels)","Mirror_Classic _of_Bian_Que/17-十二律為什麼會進入人體-六經與十二律的配對.md","","/Mirror_Classic _of_Bian_Que/17-十二律為什麼會進入人體-六經與十二律的配對"
"Mirror_Classic _of_Bian_Que","18","18 六經不是六條線：經緯、樞持與四維 (A Six-Channel Geometry)","Mirror_Classic _of_Bian_Que/18-六經不是六條線-經緯樞持與四維.md","","/Mirror_Classic _of_Bian_Que/18-六經不是六條線-經緯樞持與四維"
"Mirror_Classic _of_Bian_Que","19","19 十二律如何變成七十二舍？ (From Twelve Lü to Seventy-Two She)","Mirror_Classic _of_Bian_Que/19-十二律如何變成七十二舍.md","","/Mirror_Classic _of_Bian_Que/19-十二律如何變成七十二舍"
"Mirror_Classic _of_Bian_Que","20","20 順六十首與逆六十首：氣化不是靜態表格，而是一條路徑 (Forward and Reverse Sequences)","Mirror_Classic _of_Bian_Que/20-順六十首與逆六十首-氣化不是靜態表格.md","","/Mirror_Classic _of_Bian_Que/20-順六十首與逆六十首-氣化不是靜態表格"
"Mirror_Classic _of_Bian_Que","21","21 「首」到底是什麼？為什麼診斷一定要先立首？ (Establishing the Starting State)","Mirror_Classic _of_Bian_Que/21-首到底是什麼-為什麼診斷一定要先立首.md","","/Mirror_Classic _of_Bian_Que/21-首到底是什麼-為什麼診斷一定要先立首"
"Mirror_Classic _of_Bian_Que","22","22 首與舍：從一個狀態碼推出氣往哪裡走 (From Shou to She)","Mirror_Classic _of_Bian_Que/22-首與舍-從一個狀態碼推出氣往哪裡走.md","","/Mirror_Classic _of_Bian_Que/22-首與舍-從一個狀態碼推出氣往哪裡走"
"Mirror_Classic _of_Bian_Que","23","23 走路為什麼是右手配左腳？《鏡經》的交叉經絡觀 (Cross-Body Coordination)","Mirror_Classic _of_Bian_Que/23-走路為什麼是右手配左腳-鏡經的交叉經絡觀.md","","/Mirror_Classic _of_Bian_Que/23-走路為什麼是右手配左腳-鏡經的交叉經絡觀"
"Mirror_Classic _of_Bian_Que","24","24 溪、谷、節、舍：氣到底在哪裡交換？ (Where Qi Meets)","Mirror_Classic _of_Bian_Que/24-溪谷節舍-氣到底在哪裡交換.md","","/Mirror_Classic _of_Bian_Que/24-溪谷節舍-氣到底在哪裡交換"
"Mirror_Classic _of_Bian_Que","25","25 謙、歸、藏、生、動、長、育、止、壴：九氣是一條生命循環 (The Nine Qi States)","Mirror_Classic _of_Bian_Que/25-謙歸藏生動長育止壴-九氣是一條生命循環.md","","/Mirror_Classic _of_Bian_Que/25-謙歸藏生動長育止壴-九氣是一條生命循環"
"Mirror_Classic _of_Bian_Que","26","26 專、勝、兼、並、通、和：氣與氣相遇的六種基本關係 (Six Interaction Modes)","Mirror_Classic _of_Bian_Que/26-專勝兼並通和-氣與氣相遇的六種基本關係.md","","/Mirror_Classic _of_Bian_Que/26-專勝兼並通和-氣與氣相遇的六種基本關係"
"Mirror_Classic _of_Bian_Que","27","27 一個人同時有三層音：稟受、由行與差移 (Three Layers of Tonal State)","Mirror_Classic _of_Bian_Que/27-一個人同時有三層音-稟受由行與差移.md","","/Mirror_Classic _of_Bian_Que/27-一個人同時有三層音-稟受由行與差移"
"Mirror_Classic _of_Bian_Que","28","28 八舍真正記錄的是什麼？十二經如何跨手足配對 (Decoding the Eight-She Table)","Mirror_Classic _of_Bian_Que/28-八舍真正記錄的是什麼-十二經如何跨手足配對.md","","/Mirror_Classic _of_Bian_Que/28-八舍真正記錄的是什麼-十二經如何跨手足配對"
"Mirror_Classic _of_Bian_Que","29","29 七十二舍與七十三舍：位置與運動只差一個數字 (State and Transition)","Mirror_Classic _of_Bian_Que/29-七十二舍與七十三舍-位置與運動只差一個數字.md","","/Mirror_Classic _of_Bian_Que/29-七十二舍與七十三舍-位置與運動只差一個數字"
"Mirror_Classic _of_Bian_Que","30","30 從「謙歸黃鐘」看完整氣化鏈：三焦、募原與沖任督蹺 (A Complete Qi-Transformation Chain)","Mirror_Classic _of_Bian_Que/30-從謙歸黃鐘看完整氣化鏈-三焦募原與沖任督蹺.md","","/Mirror_Classic _of_Bian_Que/30-從謙歸黃鐘看完整氣化鏈-三焦募原與沖任督蹺"
"Mirror_Classic _of_Bian_Que","31","31 什麼叫「通天」？人不是封閉系統 (The Human Body as an Open System)","Mirror_Classic _of_Bian_Que/31-什麼叫通天-人不是封閉系統.md","","/Mirror_Classic _of_Bian_Que/31-什麼叫通天-人不是封閉系統"
"Mirror_Classic _of_Bian_Que","32","32 天有六氣、地有六味、人有情志：三種輸入如何進入同一系統 (Three Classes of Input)","Mirror_Classic _of_Bian_Que/32-天有六氣地有六味人有情志-三種輸入如何進入同一系統.md","","/Mirror_Classic _of_Bian_Que/32-天有六氣地有六味人有情志-三種輸入如何進入同一系統"
"Mirror_Classic _of_Bian_Que","33","33 專、勝、兼、並、通、和：跨自然與人體的六態模型 (Six Interaction States)","Mirror_Classic _of_Bian_Que/33-專勝兼並通和-跨自然與人體的六態模型.md","","/Mirror_Classic _of_Bian_Que/33-專勝兼並通和-跨自然與人體的六態模型"
"Mirror_Classic _of_Bian_Que","34","34 兩種味相遇會發生什麼？十五種味化組合 (Fifteen Pairwise Taste Transformations)","Mirror_Classic _of_Bian_Que/34-兩種味相遇會發生什麼-十五種味化組合.md","","/Mirror_Classic _of_Bian_Que/34-兩種味相遇會發生什麼-十五種味化組合"
"Mirror_Classic _of_Bian_Que","35","35 情緒也有「合成效應」：十五種五志之化 (Pairwise Transformations of Emotion)","Mirror_Classic _of_Bian_Que/35-情緒也有合成效應-十五種五志之化.md","","/Mirror_Classic _of_Bian_Que/35-情緒也有合成效應-十五種五志之化"
"Mirror_Classic _of_Bian_Que","36","36 「精食氣，形食味」：形、氣、精如何互相轉換？ (Transformation of Form, Qi, and Essence)","Mirror_Classic _of_Bian_Que/36-精食氣形食味-形氣精如何互相轉換.md","","/Mirror_Classic _of_Bian_Que/36-精食氣形食味-形氣精如何互相轉換"
"Mirror_Classic _of_Bian_Que","37","37 風、雷、谷、雨、川、海、天、真：九氣如何落到臟腑？ (Nine Qi and Organ Networks)","Mirror_Classic _of_Bian_Que/37-風雷谷雨川海天真-九氣如何落到臟腑.md","","/Mirror_Classic _of_Bian_Que/37-風雷谷雨川海天真-九氣如何落到臟腑"
"Mirror_Classic _of_Bian_Que","38","38 人體有多少個「海」？《鏡經》的全身交換網路 (The Body as a Network of Seas)","Mirror_Classic _of_Bian_Que/38-人體有多少個海-鏡經的全身交換網路.md","","/Mirror_Classic _of_Bian_Que/38-人體有多少個海-鏡經的全身交換網路"
