sequence,book,chapter_no,title,source_batch,source_filename,output_filename,translationKey,slug,source_sha256,output_sha256
11,suwen,42,風論篇第四十二,batch1,風論篇第四十二.md,風論篇第四十二.md,wuyan-neijing-suwen-42,wuyan_liuse_neijing_concept/42-風論篇第四十二,78b2a1cdeff5c4274d8d21337c23e991fe87e9f266931b16e1df065ca7692cb7,368f6a25dae0aaddbc1a50ff9028a54a82310f64146aa499a25d1ec8ce27042a
12,suwen,56,皮部論篇第五十六,batch1,皮部論篇第五十六.md,皮部論篇第五十六.md,wuyan-neijing-suwen-56,wuyan_liuse_neijing_concept/56-皮部論篇第五十六,94d14c1cd62031f04b0abfc79119452cebd845e0f9dd97afffbe7f192b10b161,e81cd3a29667b48e786e85a72bc281fbb17b4136095c4bf92d4858f018b15a7b
13,suwen,64,四時刺逆從論篇第六十四,batch2,四時刺逆從論篇第六十四_時空模型標定_V0.14_修正版.md,四時刺逆從論篇第六十四.md,wuyan-neijing-suwen-64,wuyan_liuse_neijing_concept/suwen-64-四時刺逆從論篇第六十四,24cc155df597b3b77fe35c40e2e549d864f5d3479face87676124a2171ac15ae,62add402657d7ea2884741da0efb6e47393bf811dbdb38a11e563d4d9ddfe565
14,suwen,67,五運行大論篇第六十七,batch2,五運行大論篇第六十七_時空模型標定_V0.13.md,五運行大論篇第六十七.md,wuyan-neijing-suwen-67,wuyan_liuse_neijing_concept/suwen-67-五運行大論篇第六十七,f5d8f71353f9f80d042b28d0468091c91e39cfdf798ce5b6f980e3f280a1a24a,2198da0ae97d11c7e0d57fbc20eb30a525b1be1373cc01b8393149fec6727aa5
15,suwen,68,六微旨大論篇第六十八,batch2,六微旨大論篇第六十八_時空模型標定_V0.12 (1).md,六微旨大論篇第六十八.md,wuyan-neijing-suwen-68,wuyan_liuse_neijing_concept/suwen-68-六微旨大論篇第六十八,e248114c37e4b828e9566bf8c630902642eb5433fd2f462d340b3b1fa43ae2dd,ff2c3b9cb609b0f6aa1dd0c2b9b21da89d59f1327106ebd82acbf1e1b275a848
16,suwen,69,氣交變大論篇第六十九,batch2,氣交變大論篇第六十九_時空模型標定_V0.15_修正版.md,氣交變大論篇第六十九.md,wuyan-neijing-suwen-69,wuyan_liuse_neijing_concept/suwen-69-氣交變大論篇第六十九,5dc090ae14d18c58ad7f1abe748e9247da5681c632705088a3938e88a3c1cf5d,c92ca5c7e008e36e11c12d34aa25ad16446f375fc26aea4e26e54b9e468884a2
17,suwen,70,五常政大論篇第七十,batch2,五常政大論篇第七十_時空模型標定_V0.9_四象色修正版.md,五常政大論篇第七十.md,wuyan-neijing-suwen-70,wuyan_liuse_neijing_concept/suwen-70-五常政大論篇第七十,6c21b50d7be3b02f19b0931c0c048cd60146f9740a4d5cc8d10c0ecf9fe0be78,d65aee9af49a28ed251a776c3aef039ebacc4340e5e61d280c93e070c615449e
18,suwen,71,六元正紀大論篇第七十一,batch2,六元正紀大論篇第七十一_時空模型標定_V0.4_四象色修正版.md,六元正紀大論篇第七十一.md,wuyan-neijing-suwen-71,wuyan_liuse_neijing_concept/71-六元正紀大論篇第七十一,6a3fc7532f07f34e503ba5d39ad1c5ee6f4e570301cac22f52983d52412c3242,b6f6b4938badac3b186b286e42b065afa671159a6c761f4bc24864b9263e4e9d
19,suwen,74,至真要大論篇第七十四,batch2,至真要大論篇第七十四_時空模型標定_V0.10_四象色修正版 (1).md,至真要大論篇第七十四.md,wuyan-neijing-suwen-74,wuyan_liuse_neijing_concept/suwen-74-至真要大論篇第七十四,715af1dd3ecd2357ad6e3b7bb7bb322ae6eb998038f35dbd58f9b88408c90e6c,1218ed90f68a5a415224db74813546a7f8643ecd222aeee457c3a7db9a0ea2bc
20,lingshu,20,五邪第二十,batch2,五邪第二十_時空模型標定_V0.25_修正版.md,五邪第二十.md,wuyan-neijing-lingshu-20,wuyan_liuse_neijing_concept/lingshu-20-五邪第二十,117a0468567276cfda14662ed12c7920267bd89c8d7dad488370f06b63de17c2,82d429761b7d3a1a512f5edbc0958d55a86d142978e5e8746cdf75d5ae2d94aa
21,lingshu,43,淫邪發夢第四十三,batch2,淫邪發夢第四十三_時空模型標定_V0.35.md,淫邪發夢第四十三.md,wuyan-neijing-lingshu-43,wuyan_liuse_neijing_concept/lingshu-43-淫邪發夢第四十三,9aabdfef4a05185fdf31edbb30e7f16f0dd59ca1cab702db5e8caf2d854bfab1,e2c0cf0cf6d62e5d593714f15b1b67a594edec0b35f4a13db4a84d1eb6f3c97c
22,lingshu,46,五變第四十六,batch2,五變第四十六_時空模型標定_V0.21_修正版.md,五變第四十六.md,wuyan-neijing-lingshu-46,wuyan_liuse_neijing_concept/lingshu-46-五變第四十六,6e4cda2975813fca55f011358274aa2678e718f062d1fbe3ea39490f2c9c42a6,a34a0670052fefbc359b4878c249d0c59a864f7257a30bec3ed24ce5e7aa6eb6
23,lingshu,56,五味第五十六,batch2,五味第五十六_時空模型標定_V0.23.md,五味第五十六.md,wuyan-neijing-lingshu-56,wuyan_liuse_neijing_concept/lingshu-56-五味第五十六,5b8fa5a1614ccf7f4311538968c8ec988261bc7e83b27f4d457293bf48d82b19,4b01a3c88ce123addcc4d0952f905c6e6c3e82007bf0930637958d7f4e9d9ede
24,lingshu,64,陰陽二十五人第六十四,batch2,陰陽二十五人第六十四_時空模型標定_V0.32_修正版.md,陰陽二十五人第六十四.md,wuyan-neijing-lingshu-64,wuyan_liuse_neijing_concept/lingshu-64-陰陽二十五人第六十四,2bdac69c1408d7a43e77cec9c3c61d5a3def9f43c0ff6116dc04df98602f4c8f,0538f54199a42cffd0e484497517cc51bd39a91e77b9f4251d926902459b7c0e
25,lingshu,65,五音五味第六十五,batch2,五音五味第六十五_時空模型標定_V0.26.md,五音五味第六十五.md,wuyan-neijing-lingshu-65,wuyan_liuse_neijing_concept/lingshu-65-五音五味第六十五,a9c189965f6b2827e32377e7a29abf46d870844f092fe9d37823955539021535,97daf0a6c1db2db519bc7b609e07b816539ae7bd2efa457c96d7ceecb5cf0bea
