translationKey,domain,originalOrder,guideOrder,traditionalTitle,localizedTitle,traditionalPath,localizedPath,traditionalFile,localizedFile
bianque-mirror-013,bianque-mirror,13,130,安、孚、躬、彁、執、淩、解、變、隨、盉從哪裡來？,安、孚、躬、彁、执、淩、解、变、随、盉从哪里来？,/mirror_classic-_of_bian_que/13-安孚躬彁執淩解變隨盉從哪裡來/,/zh-cn/mirror_classic-_of_bian_que/13-安孚躬彁執淩解變隨盉從哪裡來/,Mirror_Classic _of_Bian_Que/安孚躬彁執淩解變隨盉從哪裡來.md,Mirror_Classic _of_Bian_Que/安孚躬彁执淩解变随盉从哪里来_简体.md
bianque-mirror-014,bianque-mirror,14,140,為什麼同一個「安」還要分左右？,为什么同一个「安」还要分左右？,/mirror_classic-_of_bian_que/14-為什麼同一個安還要分左右/,/zh-cn/mirror_classic-_of_bian_que/14-為什麼同一個安還要分左右/,Mirror_Classic _of_Bian_Que/為什麼同一個安還要分左右.md,Mirror_Classic _of_Bian_Que/为什么同一个安还要分左右_简体.md
bianque-mirror-015,bianque-mirror,15,150,從十音到兩千一百音：為什麼《鏡經》需要這麼大的狀態空間？,从十音到两千一百音：为什么《镜经》需要这么大的状态空间？,/mirror_classic-_of_bian_que/15-從十音到兩千一百音-為什麼需要這麼大的狀態空間/,/zh-cn/mirror_classic-_of_bian_que/15-從十音到兩千一百音-為什麼需要這麼大的狀態空間/,Mirror_Classic _of_Bian_Que/從十音到兩千一百音-為什麼需要這麼大的狀態空間.md,Mirror_Classic _of_Bian_Que/从十音到两千一百音-为什么需要这么大的状态空间_简体.md
bianque-mirror-016,bianque-mirror,16,160,六十首到底是什麼？它不是六十首音樂,六十首到底是什么？它不是六十首音乐,/mirror_classic-_of_bian_que/16-六十首到底是什麼-它不是六十首音樂/,/zh-cn/mirror_classic-_of_bian_que/16-六十首到底是什麼-它不是六十首音樂/,Mirror_Classic _of_Bian_Que/六十首到底是什麼-它不是六十首音樂.md,Mirror_Classic _of_Bian_Que/六十首到底是什么-它不是六十首音乐_简体.md
bianque-mirror-017,bianque-mirror,17,170,十二律為什麼會進入人體？六經與十二律的配對,十二律为什么会进入人体？六经与十二律的配对,/mirror_classic-_of_bian_que/17-十二律為什麼會進入人體-六經與十二律的配對/,/zh-cn/mirror_classic-_of_bian_que/17-十二律為什麼會進入人體-六經與十二律的配對/,Mirror_Classic _of_Bian_Que/十二律為什麼會進入人體-六經與十二律的配對.md,Mirror_Classic _of_Bian_Que/十二律为什么会进入人体-六经与十二律的配对_简体.md
bianque-mirror-018,bianque-mirror,18,180,六經不是六條線：經緯、樞持與四維,六经不是六条线：经纬、枢持与四维,/mirror_classic-_of_bian_que/18-六經不是六條線-經緯樞持與四維/,/zh-cn/mirror_classic-_of_bian_que/18-六經不是六條線-經緯樞持與四維/,Mirror_Classic _of_Bian_Que/六經不是六條線-經緯樞持與四維.md,Mirror_Classic _of_Bian_Que/六经不是六条线-经纬枢持与四维_简体.md
bianque-mirror-019,bianque-mirror,19,190,十二律如何變成七十二舍？,十二律如何变成七十二舍？,/mirror_classic-_of_bian_que/19-十二律如何變成七十二舍/,/zh-cn/mirror_classic-_of_bian_que/19-十二律如何變成七十二舍/,Mirror_Classic _of_Bian_Que/十二律如何變成七十二舍.md,Mirror_Classic _of_Bian_Que/十二律如何变成七十二舍_简体.md
bianque-mirror-020,bianque-mirror,20,200,順六十首與逆六十首：氣化不是靜態表格，而是一條路徑,顺六十首与逆六十首：气化不是静态表格，而是一条路径,/mirror_classic-_of_bian_que/20-順六十首與逆六十首-氣化不是靜態表格/,/zh-cn/mirror_classic-_of_bian_que/20-順六十首與逆六十首-氣化不是靜態表格/,Mirror_Classic _of_Bian_Que/順六十首與逆六十首-氣化不是靜態表格.md,Mirror_Classic _of_Bian_Que/顺六十首与逆六十首-气化不是静态表格_简体.md
bianque-mirror-021,bianque-mirror,21,210,「首」到底是什麼？為什麼診斷一定要先立首？,「首」到底是什么？为什么诊断一定要先立首？,/mirror_classic-_of_bian_que/21-首到底是什麼-為什麼診斷一定要先立首/,/zh-cn/mirror_classic-_of_bian_que/21-首到底是什麼-為什麼診斷一定要先立首/,Mirror_Classic _of_Bian_Que/首到底是什麼-為什麼診斷一定要先立首.md,Mirror_Classic _of_Bian_Que/首到底是什么-为什么诊断一定要先立首_简体.md
bianque-mirror-022,bianque-mirror,22,220,首與舍：從一個狀態碼推出氣往哪裡走,首与舍：从一个状态码推出气往哪里走,/mirror_classic-_of_bian_que/22-首與舍-從一個狀態碼推出氣往哪裡走/,/zh-cn/mirror_classic-_of_bian_que/22-首與舍-從一個狀態碼推出氣往哪裡走/,Mirror_Classic _of_Bian_Que/首與舍-從一個狀態碼推出氣往哪裡走.md,Mirror_Classic _of_Bian_Que/首与舍-从一个状态码推出气往哪里走_简体.md
bianque-mirror-023,bianque-mirror,23,230,走路為什麼是右手配左腳？《鏡經》的交叉經絡觀,走路为什么是右手配左脚？《镜经》的交叉经络观,/mirror_classic-_of_bian_que/23-走路為什麼是右手配左腳-鏡經的交叉經絡觀/,/zh-cn/mirror_classic-_of_bian_que/23-走路為什麼是右手配左腳-鏡經的交叉經絡觀/,Mirror_Classic _of_Bian_Que/走路為什麼是右手配左腳-鏡經的交叉經絡觀.md,Mirror_Classic _of_Bian_Que/走路为什么是右手配左脚-镜经的交叉经络观_简体.md
bianque-mirror-024,bianque-mirror,24,240,溪、谷、節、舍：氣到底在哪裡交換？,溪、谷、节、舍：气到底在哪里交换？,/mirror_classic-_of_bian_que/24-溪谷節舍-氣到底在哪裡交換/,/zh-cn/mirror_classic-_of_bian_que/24-溪谷節舍-氣到底在哪裡交換/,Mirror_Classic _of_Bian_Que/溪谷節舍-氣到底在哪裡交換.md,Mirror_Classic _of_Bian_Que/溪谷节舍-气到底在哪里交换_简体.md
bianque-mirror-025,bianque-mirror,25,250,謙、歸、藏、生、動、長、育、止、壴：九氣是一條生命循環,谦、归、藏、生、动、长、育、止、壴：九气是一条生命循环,/mirror_classic-_of_bian_que/25-謙歸藏生動長育止壴-九氣是一條生命循環/,/zh-cn/mirror_classic-_of_bian_que/25-謙歸藏生動長育止壴-九氣是一條生命循環/,Mirror_Classic _of_Bian_Que/謙歸藏生動長育止壴-九氣是一條生命循環.md,Mirror_Classic _of_Bian_Que/谦归藏生动长育止壴-九气是一条生命循环_简体.md
bianque-mirror-026,bianque-mirror,26,260,專、勝、兼、並、通、和：氣與氣相遇的六種基本關係,专、胜、兼、并、通、和：气与气相遇的六种基本关系,/mirror_classic-_of_bian_que/26-專勝兼並通和-氣與氣相遇的六種基本關係/,/zh-cn/mirror_classic-_of_bian_que/26-專勝兼並通和-氣與氣相遇的六種基本關係/,Mirror_Classic _of_Bian_Que/專勝兼並通和-氣與氣相遇的六種基本關係.md,Mirror_Classic _of_Bian_Que/专胜兼并通和-气与气相遇的六种基本关系_简体.md
bianque-mirror-027,bianque-mirror,27,270,一個人同時有三層音：稟受、由行與差移,一个人同时有三层音：禀受、由行与差移,/mirror_classic-_of_bian_que/27-一個人同時有三層音-稟受由行與差移/,/zh-cn/mirror_classic-_of_bian_que/27-一個人同時有三層音-稟受由行與差移/,Mirror_Classic _of_Bian_Que/一個人同時有三層音-稟受由行與差移.md,Mirror_Classic _of_Bian_Que/一个人同时有三层音-禀受由行与差移_简体.md
bianque-mirror-028,bianque-mirror,28,280,八舍真正記錄的是什麼？十二經如何跨手足配對,八舍真正记录的是什么？十二经如何跨手足配对,/mirror_classic-_of_bian_que/28-八舍真正記錄的是什麼-十二經如何跨手足配對/,/zh-cn/mirror_classic-_of_bian_que/28-八舍真正記錄的是什麼-十二經如何跨手足配對/,Mirror_Classic _of_Bian_Que/八舍真正記錄的是什麼-十二經如何跨手足配對.md,Mirror_Classic _of_Bian_Que/八舍真正记录的是什么-十二经如何跨手足配对_简体.md
bianque-mirror-029,bianque-mirror,29,290,七十二舍與七十三舍：位置與運動只差一個數字,七十二舍与七十三舍：位置与运动只差一个数字,/mirror_classic-_of_bian_que/29-七十二舍與七十三舍-位置與運動只差一個數字/,/zh-cn/mirror_classic-_of_bian_que/29-七十二舍與七十三舍-位置與運動只差一個數字/,Mirror_Classic _of_Bian_Que/七十二舍與七十三舍-位置與運動只差一個數字.md,Mirror_Classic _of_Bian_Que/七十二舍与七十三舍-位置与运动只差一个数字_简体.md
bianque-mirror-030,bianque-mirror,30,300,從「謙歸黃鐘」看完整氣化鏈：三焦、募原與沖任督蹺,从「谦归黄钟」看完整气化链：三焦、募原与冲任督跷,/mirror_classic-_of_bian_que/30-從謙歸黃鐘看完整氣化鏈-三焦募原與沖任督蹺/,/zh-cn/mirror_classic-_of_bian_que/30-從謙歸黃鐘看完整氣化鏈-三焦募原與沖任督蹺/,Mirror_Classic _of_Bian_Que/從謙歸黃鐘看完整氣化鏈-三焦募原與沖任督蹺.md,Mirror_Classic _of_Bian_Que/从谦归黄钟看完整气化链-三焦募原与冲任督跷_简体.md
bianque-mirror-031,bianque-mirror,31,310,什麼叫「通天」？人不是封閉系統,什么叫「通天」？人不是封闭系统,/mirror_classic-_of_bian_que/31-什麼叫通天-人不是封閉系統/,/zh-cn/mirror_classic-_of_bian_que/31-什麼叫通天-人不是封閉系統/,Mirror_Classic _of_Bian_Que/什麼叫通天-人不是封閉系統.md,Mirror_Classic _of_Bian_Que/什么叫通天-人不是封闭系统_简体.md
bianque-mirror-032,bianque-mirror,32,320,天有六氣、地有六味、人有情志：三種輸入如何進入同一系統,天有六气、地有六味、人有情志：三种输入如何进入同一系统,/mirror_classic-_of_bian_que/32-天有六氣地有六味人有情志-三種輸入如何進入同一系統/,/zh-cn/mirror_classic-_of_bian_que/32-天有六氣地有六味人有情志-三種輸入如何進入同一系統/,Mirror_Classic _of_Bian_Que/天有六氣地有六味人有情志-三種輸入如何進入同一系統.md,Mirror_Classic _of_Bian_Que/天有六气地有六味人有情志-三种输入如何进入同一系统_简体.md
bianque-mirror-033,bianque-mirror,33,330,專、勝、兼、並、通、和：跨自然與人體的六態模型,专、胜、兼、并、通、和：跨自然与人体的六态模型,/mirror_classic-_of_bian_que/33-專勝兼並通和-跨自然與人體的六態模型/,/zh-cn/mirror_classic-_of_bian_que/33-專勝兼並通和-跨自然與人體的六態模型/,Mirror_Classic _of_Bian_Que/專勝兼並通和-跨自然與人體的六態模型.md,Mirror_Classic _of_Bian_Que/专胜兼并通和-跨自然与人体的六态模型_简体.md
bianque-mirror-034,bianque-mirror,34,340,兩種味相遇會發生什麼？十五種味化組合,两种味相遇会发生什么？十五种味化组合,/mirror_classic-_of_bian_que/34-兩種味相遇會發生什麼-十五種味化組合/,/zh-cn/mirror_classic-_of_bian_que/34-兩種味相遇會發生什麼-十五種味化組合/,Mirror_Classic _of_Bian_Que/兩種味相遇會發生什麼-十五種味化組合.md,Mirror_Classic _of_Bian_Que/两种味相遇会发生什么-十五种味化组合_简体.md
bianque-mirror-035,bianque-mirror,35,350,情緒也有「合成效應」：十五種五志之化,情绪也有「合成效应」：十五种五志之化,/mirror_classic-_of_bian_que/35-情緒也有合成效應-十五種五志之化/,/zh-cn/mirror_classic-_of_bian_que/35-情緒也有合成效應-十五種五志之化/,Mirror_Classic _of_Bian_Que/情緒也有合成效應-十五種五志之化.md,Mirror_Classic _of_Bian_Que/情绪也有合成效应-十五种五志之化_简体.md
bianque-mirror-036,bianque-mirror,36,360,「精食氣，形食味」：形、氣、精如何互相轉換？,「精食气，形食味」：形、气、精如何互相转换？,/mirror_classic-_of_bian_que/36-精食氣形食味-形氣精如何互相轉換/,/zh-cn/mirror_classic-_of_bian_que/36-精食氣形食味-形氣精如何互相轉換/,Mirror_Classic _of_Bian_Que/精食氣形食味-形氣精如何互相轉換.md,Mirror_Classic _of_Bian_Que/精食气形食味-形气精如何互相转换_简体.md
bianque-mirror-037,bianque-mirror,37,370,風、雷、谷、雨、川、海、天、真：九氣如何落到臟腑？,风、雷、谷、雨、川、海、天、真：九气如何落到脏腑？,/mirror_classic-_of_bian_que/37-風雷谷雨川海天真-九氣如何落到臟腑/,/zh-cn/mirror_classic-_of_bian_que/37-風雷谷雨川海天真-九氣如何落到臟腑/,Mirror_Classic _of_Bian_Que/風雷谷雨川海天真-九氣如何落到臟腑.md,Mirror_Classic _of_Bian_Que/风雷谷雨川海天真-九气如何落到脏腑_简体.md
bianque-mirror-038,bianque-mirror,38,380,人體有多少個「海」？《鏡經》的全身交換網路,人体有多少个「海」？《镜经》的全身交换网路,/mirror_classic-_of_bian_que/38-人體有多少個海-鏡經的全身交換網路/,/zh-cn/mirror_classic-_of_bian_que/38-人體有多少個海-鏡經的全身交換網路/,Mirror_Classic _of_Bian_Que/人體有多少個海-鏡經的全身交換網路.md,Mirror_Classic _of_Bian_Que/人体有多少个海-镜经的全身交换网路_简体.md
bianque-mirror-039,bianque-mirror,39,390,寸關尺其實不只三格：什麼是二十七候？,寸关尺其实不只三格：什么是二十七候？,/mirror_classic-_of_bian_que/39-寸關尺其實不只三格-什麼是二十七候/,/zh-cn/mirror_classic-_of_bian_que/39-寸關尺其實不只三格-什麼是二十七候/,Mirror_Classic _of_Bian_Que/寸關尺其實不只三格-什麼是二十七候.md,Mirror_Classic _of_Bian_Que/寸关尺其实不只三格-什么是二十七候_简体.md
bianque-mirror-040,bianque-mirror,40,400,周差進斷、毅悅昆斂致……二十七個名字到底在標什麼？,周差进断、毅悦昆敛致……二十七个名字到底在标什么？,/mirror_classic-_of_bian_que/40-周差進斷毅悅昆斂致-二十七個名字到底在標什麼/,/zh-cn/mirror_classic-_of_bian_que/40-周差進斷毅悅昆斂致-二十七個名字到底在標什麼/,Mirror_Classic _of_Bian_Que/周差進斷毅悅昆斂致-二十七個名字到底在標什麼.md,Mirror_Classic _of_Bian_Que/周差进断毅悦昆敛致-二十七个名字到底在标什么_简体.md
bianque-mirror-041,bianque-mirror,41,410,怎樣讀懂一句「謙歸周，質安黃鐘」？,怎样读懂一句「谦归周，质安黄钟」？,/mirror_classic-_of_bian_que/41-怎樣讀懂一句謙歸周質安黃鐘/,/zh-cn/mirror_classic-_of_bian_que/41-怎樣讀懂一句謙歸周質安黃鐘/,Mirror_Classic _of_Bian_Que/怎樣讀懂一句謙歸周質安黃鐘.md,Mirror_Classic _of_Bian_Que/怎样读懂一句谦归周质安黄钟_简体.md
bianque-mirror-042,bianque-mirror,42,420,一舍三候、一候八舍：候和舍不是同一件事,一舍三候、一候八舍：候和舍不是同一件事,/mirror_classic-_of_bian_que/42-一舍三候一候八舍-候和舍不是同一件事/,/zh-cn/mirror_classic-_of_bian_que/42-一舍三候一候八舍-候和舍不是同一件事/,Mirror_Classic _of_Bian_Que/一舍三候一候八舍-候和舍不是同一件事.md,Mirror_Classic _of_Bian_Que/一舍三候一候八舍-候和舍不是同一件事_简体.md
bianque-mirror-043,bianque-mirror,43,430,五十營怎樣穿過二十七候？從單點脈診變成時間序列,五十营怎样穿过二十七候？从单点脉诊变成时间序列,/mirror_classic-_of_bian_que/43-五十營怎樣穿過二十七候-從單點脈診變成時間序列/,/zh-cn/mirror_classic-_of_bian_que/43-五十營怎樣穿過二十七候-從單點脈診變成時間序列/,Mirror_Classic _of_Bian_Que/五十營怎樣穿過二十七候-從單點脈診變成時間序列.md,Mirror_Classic _of_Bian_Que/五十营怎样穿过二十七候-从单点脉诊变成时间序列_简体.md
bianque-mirror-044,bianque-mirror,44,440,什麼是「奇恒」？異常必須從正常模型中定義,什么是「奇恒」？异常必须从正常模型中定义,/mirror_classic-_of_bian_que/44-什麼是奇恒-異常必須從正常模型中定義/,/zh-cn/mirror_classic-_of_bian_que/44-什麼是奇恒-異常必須從正常模型中定義/,Mirror_Classic _of_Bian_Que/什麼是奇恒-異常必須從正常模型中定義.md,Mirror_Classic _of_Bian_Que/什么是奇恒-异常必须从正常模型中定义_简体.md
bianque-mirror-046,bianque-mirror,46,450,寸口和脈口不是一回事：三寸、九野與二十七候,寸口和脉口不是一回事：三寸、九野与二十七候,/mirror_classic-_of_bian_que/46-寸口和脈口不是一回事-三寸九野與二十七候/,/zh-cn/mirror_classic-_of_bian_que/46-寸口和脈口不是一回事-三寸九野與二十七候/,Mirror_Classic _of_Bian_Que/寸口和脈口不是一回事-三寸九野與二十七候.md,Mirror_Classic _of_Bian_Que/寸口和脉口不是一回事-三寸九野与二十七候_简体.md
bianque-mirror-045,bianque-mirror,45,460,氣口為什麼要量三寸？寸、關、尺是三種來源的氣,气口为什么要量三寸？寸、关、尺是三种来源的气,/mirror_classic-_of_bian_que/45-氣口為什麼要量三寸-寸關尺是三種來源的氣/,/zh-cn/mirror_classic-_of_bian_que/45-氣口為什麼要量三寸-寸關尺是三種來源的氣/,Mirror_Classic _of_Bian_Que/氣口為什麼要量三寸-寸關尺是三種來源的氣.md,Mirror_Classic _of_Bian_Que/气口为什么要量三寸-寸关尺是三种来源的气_简体.md
bianque-mirror-047,bianque-mirror,47,470,脈不是一條線：波湧、隴起與三分六分九分,脉不是一条线：波涌、陇起与三分六分九分,/mirror_classic-_of_bian_que/47-脈不是一條線-波湧隴起與三六九分/,/zh-cn/mirror_classic-_of_bian_que/47-脈不是一條線-波湧隴起與三六九分/,Mirror_Classic _of_Bian_Que/脈不是一條線-波湧隴起與三六九分.md,Mirror_Classic _of_Bian_Que/脉不是一条线-波涌陇起与三六九分_简体.md
bianque-mirror-048,bianque-mirror,48,480,黃鐘六十分與蕤賓五十三分：怎樣從正常脈律發現偏移？,黄钟六十分与蕤宾五十三分：怎样从正常脉律发现偏移？,/mirror_classic-_of_bian_que/48-黃鐘六十分與蕤賓五十三分-怎樣從正常脈律發現偏移/,/zh-cn/mirror_classic-_of_bian_que/48-黃鐘六十分與蕤賓五十三分-怎樣從正常脈律發現偏移/,Mirror_Classic _of_Bian_Que/黃鐘六十分與蕤賓五十三分-怎樣從正常脈律發現偏移.md,Mirror_Classic _of_Bian_Que/黄钟六十分与蕤宾五十三分-怎样从正常脉律发现偏移_简体.md
