TranslationKey,DomainKey,DisplayOrder,DisplayTitleZh,DisplayTitleEn,LegacyZhFile,CleanZhFile,LegacyEnFile,CleanEnFile,ChineseURL,EnglishURL
spacetime-020,spacetime,20,20 五行相剋洛書一筆畫模型,20 Luoshu Single-Stroke Model of Five-Phase Restraint,src/content/docs/concept/20-五行相剋洛書一筆畫模型.md,src/content/docs/concept/五行相剋洛書一筆畫模型.md,src/content/docs/en/concept/20-五行相剋洛書一筆畫模型_英文.md,src/content/docs/en/concept/五行相剋洛書一筆畫模型_英文.md,/concept/20-五行相剋洛書一筆畫模型/,/en/concept/20-五行相剋洛書一筆畫模型/
spacetime-021,spacetime,21,21 五行互含模型（體質與藥精細分）,21 Five-Phase Mutual-Inclusion Model: Refining Constitution and Medicinal Essence,src/content/docs/concept/21-五行互涵模型（體質與藥精細分）.md,src/content/docs/concept/五行互涵模型（體質與藥精細分）.md,src/content/docs/en/concept/21-五行互涵模型（體質與藥精細分）_英文.md,src/content/docs/en/concept/五行互涵模型（體質與藥精細分）_英文.md,/concept/21-五行互涵模型體質與藥精細分/,/en/concept/21-五行互涵模型體質與藥精細分/
spacetime-023,spacetime,22,22 三陰三陽年尺度主氣模型,22 Annual Host-Qi Model of the Three Yin and Three Yang,src/content/docs/concept/23-三陰三陽年尺度主氣模型.md,src/content/docs/concept/三陰三陽年尺度主氣模型.md,src/content/docs/en/concept/23-三陰三陽年尺度主氣模型_英文.md,src/content/docs/en/concept/三陰三陽年尺度主氣模型_英文.md,/concept/23-三陰三陽年尺度主氣模型/,/en/concept/23-三陰三陽年尺度主氣模型/
spacetime-027,spacetime,23,23 二十四節氣拆分模型,23 Partitioning Model of the Twenty-Four Solar Terms,src/content/docs/concept/27-二十四節氣拆分模型.md,src/content/docs/concept/二十四節氣拆分模型.md,src/content/docs/en/concept/27-二十四節氣拆分模型_英文.md,src/content/docs/en/concept/二十四節氣拆分模型_英文.md,/concept/27-二十四節氣拆分模型/,/en/concept/27-二十四節氣拆分模型/
spacetime-022,spacetime,24,24 三陰三陽時間尺度變化模型,24 Three Yin and Three Yang Guest-Qi Model Across Time Scales,src/content/docs/concept/22-三陰三陽年尺度客氣變化模型.md,src/content/docs/concept/三陰三陽年尺度客氣變化模型.md,src/content/docs/en/concept/22-三陰三陽年尺度客氣變化模型_英文.md,src/content/docs/en/concept/三陰三陽年尺度客氣變化模型_英文.md,/concept/22-三陰三陽年尺度客氣變化模型/,/en/concept/22-三陰三陽年尺度客氣變化模型/
spacetime-024,spacetime,25,25 三陰三陽地支十二日時間模型,25 Twelve-Day Earthly-Branch Model of the Three Yin and Three Yang,src/content/docs/concept/24-三陰三陽地支十二日時間模型.md,src/content/docs/concept/三陰三陽地支十二日時間模型.md,src/content/docs/en/concept/24-三陰三陽地支十二日時間模型_英文.md,src/content/docs/en/concept/三陰三陽地支十二日時間模型_英文.md,/concept/24-三陰三陽地支十二日時間模型/,/en/concept/24-三陰三陽地支十二日時間模型/
spacetime-025,spacetime,26,26 三陰三陽日尺度預解時模型,26 Daily Desired-Relief-Time Model of the Three Yin and Three Yang,src/content/docs/concept/25-三陰三陽日尺度預解時模型.md,src/content/docs/concept/三陰三陽日尺度預解時模型.md,src/content/docs/en/concept/25-三陰三陽日尺度預解時模型_英文.md,src/content/docs/en/concept/三陰三陽日尺度預解時模型_英文.md,/concept/25-三陰三陽日尺度預解時模型/,/en/concept/25-三陰三陽日尺度預解時模型/
spacetime-026,spacetime,27,27 三陰三陽人體空間分佈模型（陰陽離合規律）,"27 Human Spatial Distribution of the Three Yin and Three Yang: The Law of Opening, Closing, and Pivoting",src/content/docs/concept/26-三陰三陽人體空間分佈模型（陰陽離合規律）.md,src/content/docs/concept/三陰三陽人體空間分佈模型（陰陽離合規律）.md,src/content/docs/en/concept/26-三陰三陽人體空間分佈模型（陰陽離合規律）_英文.md,src/content/docs/en/concept/三陰三陽人體空間分佈模型（陰陽離合規律）_英文.md,/concept/26-三陰三陽人體空間分佈模型陰陽離合規律/,/en/concept/26-三陰三陽人體空間分佈模型陰陽離合規律/
spacetime-029,spacetime,28,28 九宮八風空間與診法模型,28 Nine Palaces and Eight Winds: Spatial and Diagnostic Model,src/content/docs/concept/29-九宮八風空間與診法模型.md,src/content/docs/concept/九宮八風空間與診法模型.md,src/content/docs/en/concept/29-九宮八風空間與診法模型_英文.md,src/content/docs/en/concept/九宮八風空間與診法模型_英文.md,/concept/29-九宮八風空間與診法模型/,/en/concept/29-九宮八風空間與診法模型/
spacetime-028,spacetime,29,29 五六相合時空整合模型,29 Five-Six Spatiotemporal Integration Model,src/content/docs/concept/28-五六相合時空整合模型.md,src/content/docs/concept/五六相合時空整合模型.md,src/content/docs/en/concept/28-五六相合時空整合模型_英文.md,src/content/docs/en/concept/五六相合時空整合模型_英文.md,/concept/28-五六相合時空整合模型/,/en/concept/28-五六相合時空整合模型/
spacetime-030,spacetime,30,30 能量運動的疊加與干預原則,30 Principle of Energy Superposition and Intervention,src/content/docs/concept/30-能量運動的疊加與干預原則.md,src/content/docs/concept/能量運動的疊加與干預原則.md,src/content/docs/en/concept/30-能量運動的疊加與干預原則_英文.md,src/content/docs/en/concept/能量運動的疊加與干預原則_英文.md,/concept/30-能量運動的疊加與干預原則/,/en/concept/30-能量運動的疊加與干預原則/
qihua-physiology-001,qihua-physiology,01,01 醫者明理與天人氣化總綱,01 Understanding Principles as a Physician: General Framework of Heaven-Human Qi Transformation,src/content/docs/qihua_physiology_concept/01-醫者明理與天人氣化總綱.md,src/content/docs/qihua_physiology_concept/醫者明理與天人氣化總綱.md,src/content/docs/en/qihua_physiology_concept/01-醫者明理與天人氣化總綱_英文.md,src/content/docs/en/qihua_physiology_concept/醫者明理與天人氣化總綱_英文.md,/qihua_physiology_concept/01-醫者明理與天人氣化總綱/,/en/qihua_physiology_concept/01-醫者明理與天人氣化總綱/
qihua-physiology-002,qihua-physiology,02,02 一氣陰陽清濁與中氣樞軸,"02 One Qi, Yin-Yang, Clear and Turbid, and the Pivot of Central Qi",src/content/docs/qihua_physiology_concept/02-一氣陰陽清濁與中氣樞軸.md,src/content/docs/qihua_physiology_concept/一氣陰陽清濁與中氣樞軸.md,src/content/docs/en/qihua_physiology_concept/02-一氣陰陽清濁與中氣樞軸_英文.md,src/content/docs/en/qihua_physiology_concept/一氣陰陽清濁與中氣樞軸_英文.md,/qihua_physiology_concept/02-一氣陰陽清濁與中氣樞軸/,/en/qihua_physiology_concept/02-一氣陰陽清濁與中氣樞軸/
qihua-physiology-003,qihua-physiology,03,03 四象五行與春夏秋冬節律,"03 Four Images, Five Phases, and the Rhythm of Spring, Summer, Autumn, and Winter",src/content/docs/qihua_physiology_concept/03-四象五行與春夏秋冬節律.md,src/content/docs/qihua_physiology_concept/四象五行與春夏秋冬節律.md,src/content/docs/en/qihua_physiology_concept/03-四象五行與春夏秋冬節律_英文.md,src/content/docs/en/qihua_physiology_concept/四象五行與春夏秋冬節律_英文.md,/qihua_physiology_concept/03-四象五行與春夏秋冬節律/,/en/qihua_physiology_concept/03-四象五行與春夏秋冬節律/
qihua-physiology-004,qihua-physiology,04,04 脾胃中土與人體五行生成,04 Spleen-Stomach Central Earth and the Generation of the Five Phases in the Body,src/content/docs/qihua_physiology_concept/04-脾胃中土與人體五行生成.md,src/content/docs/qihua_physiology_concept/脾胃中土與人體五行生成.md,src/content/docs/en/qihua_physiology_concept/04-脾胃中土與人體五行生成_英文.md,src/content/docs/en/qihua_physiology_concept/脾胃中土與人體五行生成_英文.md,/qihua_physiology_concept/04-脾胃中土與人體五行生成/,/en/qihua_physiology_concept/04-脾胃中土與人體五行生成/
qihua-physiology-005,qihua-physiology,05,05 探源圖解與天地人氣化總圖,05 Diagrammatic Exploration of Origins: A General Map of Heaven-Earth-Human Qi Transformation,src/content/docs/qihua_physiology_concept/05-探源圖解與天地人氣化總圖.md,src/content/docs/qihua_physiology_concept/探源圖解與天地人氣化總圖.md,src/content/docs/en/qihua_physiology_concept/05-探源圖解與天地人氣化總圖_英文.md,src/content/docs/en/qihua_physiology_concept/探源圖解與天地人氣化總圖_英文.md,/qihua_physiology_concept/05-探源圖解與天地人氣化總圖/,/en/qihua_physiology_concept/05-探源圖解與天地人氣化總圖/
qihua-physiology-007,qihua-physiology,06,06 水火徵兆與上下左右道路,"06 Signs of Water and Fire and the Pathways of Up, Down, Left, and Right",src/content/docs/qihua_physiology_concept/07-水火徵兆與上下左右道路.md,src/content/docs/qihua_physiology_concept/水火徵兆與上下左右道路.md,src/content/docs/en/qihua_physiology_concept/07-水火徵兆與上下左右道路_英文.md,src/content/docs/en/qihua_physiology_concept/水火徵兆與上下左右道路_英文.md,/qihua_physiology_concept/07-水火徵兆與上下左右道路/,/en/qihua_physiology_concept/07-水火徵兆與上下左右道路/
qihua-physiology-008,qihua-physiology,07,07 生長收藏與五臟情志節律,"07 Generation, Growth, Gathering, Storage, and the Emotional Rhythms of the Five Zang",src/content/docs/qihua_physiology_concept/08-生長收藏與五臟情志節律.md,src/content/docs/qihua_physiology_concept/生長收藏與五臟情志節律.md,src/content/docs/en/qihua_physiology_concept/08-生長收藏與五臟情志節律_英文.md,src/content/docs/en/qihua_physiology_concept/生長收藏與五臟情志節律_英文.md,/qihua_physiology_concept/08-生長收藏與五臟情志節律/,/en/qihua_physiology_concept/08-生長收藏與五臟情志節律/
qihua-physiology-009,qihua-physiology,08,08 六氣主時與年度氣候分段,08 Temporal Governance of the Six Qi and Annual Climatic Segmentation,src/content/docs/qihua_physiology_concept/09-六氣主時與年度氣候分段.md,src/content/docs/qihua_physiology_concept/六氣主時與年度氣候分段.md,src/content/docs/en/qihua_physiology_concept/09-六氣主時與年度氣候分段_英文.md,src/content/docs/en/qihua_physiology_concept/六氣主時與年度氣候分段_英文.md,/qihua_physiology_concept/09-六氣主時與年度氣候分段/,/en/qihua_physiology_concept/09-六氣主時與年度氣候分段/
qihua-physiology-010,qihua-physiology,09,09 司天在泉與上下半年氣候,"09 Sitian, Zaiquan, and the Climate of the Upper and Lower Halves of the Year",src/content/docs/qihua_physiology_concept/10-司天在泉與上下半年氣候.md,src/content/docs/qihua_physiology_concept/司天在泉與上下半年氣候.md,src/content/docs/en/qihua_physiology_concept/10-司天在泉與上下半年氣候_英文.md,src/content/docs/en/qihua_physiology_concept/司天在泉與上下半年氣候_英文.md,/qihua_physiology_concept/10-司天在泉與上下半年氣候/,/en/qihua_physiology_concept/10-司天在泉與上下半年氣候/
qihua-physiology-011,qihua-physiology,10,10 天符歲會太乙天符與運氣疊加,"10 Tianfu, Suihui, Taiyi Tianfu, and the Superposition of Movement and Qi",src/content/docs/qihua_physiology_concept/11-天符歲會太乙天符與運氣疊加.md,src/content/docs/qihua_physiology_concept/天符歲會太乙天符與運氣疊加.md,src/content/docs/en/qihua_physiology_concept/11-天符歲會太乙天符與運氣疊加_英文.md,src/content/docs/en/qihua_physiology_concept/天符歲會太乙天符與運氣疊加_英文.md,/qihua_physiology_concept/11-天符歲會太乙天符與運氣疊加/,/en/qihua_physiology_concept/11-天符歲會太乙天符與運氣疊加/
qihua-physiology-012,qihua-physiology,11,11 人生之始與祖氣成形,11 The Beginning of Human Life and the Formation of Ancestral Qi,src/content/docs/qihua_physiology_concept/12-人生之始與祖氣成形.md,src/content/docs/qihua_physiology_concept/人生之始與祖氣成形.md,src/content/docs/en/qihua_physiology_concept/12-人生之始與祖氣成形_英文.md,src/content/docs/en/qihua_physiology_concept/人生之始與祖氣成形_英文.md,/qihua_physiology_concept/12-人生之始與祖氣成形/,/en/qihua_physiology_concept/12-人生之始與祖氣成形/
qihua-physiology-013,qihua-physiology,12,12 五臟六腑功能網路總論,12 General Theory of the Functional Network of the Five Zang and Six Fu,src/content/docs/qihua_physiology_concept/13-五臟六腑功能網路總論.md,src/content/docs/qihua_physiology_concept/五臟六腑功能網路總論.md,src/content/docs/en/qihua_physiology_concept/13-五臟六腑功能網路總論_英文.md,src/content/docs/en/qihua_physiology_concept/五臟六腑功能網路總論_英文.md,/qihua_physiology_concept/13-五臟六腑功能網路總論/,/en/qihua_physiology_concept/13-五臟六腑功能網路總論/
qihua-physiology-016,qihua-physiology,13,13 脾胃中央運化與太倉輸布,"13 Spleen and Stomach: Central Transportation, Transformation, and Distribution from the Great Granary",src/content/docs/qihua_physiology_concept/16-脾胃中央運化與太倉輸布.md,src/content/docs/qihua_physiology_concept/脾胃中央運化與太倉輸布.md,src/content/docs/en/qihua_physiology_concept/16-脾胃中央運化與太倉輸布_英文.md,src/content/docs/en/qihua_physiology_concept/脾胃中央運化與太倉輸布_英文.md,/qihua_physiology_concept/16-脾胃中央運化與太倉輸布/,/en/qihua_physiology_concept/16-脾胃中央運化與太倉輸布/
qihua-physiology-015,qihua-physiology,14,14 肝膽風木謀慮與中正決斷,"14 Liver and Gallbladder Wind-Wood: Planning, Upright Judgment, and Decision",src/content/docs/qihua_physiology_concept/15-肝膽風木謀慮與中正決斷.md,src/content/docs/qihua_physiology_concept/肝膽風木謀慮與中正決斷.md,src/content/docs/en/qihua_physiology_concept/15-肝膽風木謀慮與中正決斷_英文.md,src/content/docs/en/qihua_physiology_concept/肝膽風木謀慮與中正決斷_英文.md,/qihua_physiology_concept/15-肝膽風木謀慮與中正決斷/,/en/qihua_physiology_concept/15-肝膽風木謀慮與中正決斷/
qihua-physiology-014,qihua-physiology,15,15 心與小腸君火神明與化物生血,"15 Heart and Small Intestine: Sovereign Fire, Spirit, Transformation of Matter, and Blood Generation",src/content/docs/qihua_physiology_concept/14-心與小腸君火神明與化物生血.md,src/content/docs/qihua_physiology_concept/心與小腸君火神明與化物生血.md,src/content/docs/en/qihua_physiology_concept/14-心與小腸君火神明與化物生血_英文.md,src/content/docs/en/qihua_physiology_concept/心與小腸君火神明與化物生血_英文.md,/qihua_physiology_concept/14-心與小腸君火神明與化物生血/,/en/qihua_physiology_concept/14-心與小腸君火神明與化物生血/
qihua-physiology-017,qihua-physiology,16,16 肺大腸制節宣降與傳導,"16 Lung and Large Intestine: Regulation, Diffusion-Descent, and Conduction",src/content/docs/qihua_physiology_concept/17-肺大腸制節宣降與傳導.md,src/content/docs/qihua_physiology_concept/肺大腸制節宣降與傳導.md,src/content/docs/en/qihua_physiology_concept/17-肺大腸制節宣降與傳導_英文.md,src/content/docs/en/qihua_physiology_concept/肺大腸制節宣降與傳導_英文.md,/qihua_physiology_concept/17-肺大腸制節宣降與傳導/,/en/qihua_physiology_concept/17-肺大腸制節宣降與傳導/
qihua-physiology-018,qihua-physiology,17,17 腎膀胱水藏津液與氣化出入,"17 Kidney and Bladder: Water Storage, Fluids, and the Entry-Exit of Qi Transformation",src/content/docs/qihua_physiology_concept/18-腎膀胱水藏津液與氣化出入.md,src/content/docs/qihua_physiology_concept/腎膀胱水藏津液與氣化出入.md,src/content/docs/en/qihua_physiology_concept/18-腎膀胱水藏津液與氣化出入_英文.md,src/content/docs/en/qihua_physiology_concept/腎膀胱水藏津液與氣化出入_英文.md,/qihua_physiology_concept/18-腎膀胱水藏津液與氣化出入/,/en/qihua_physiology_concept/18-腎膀胱水藏津液與氣化出入/
qihua-physiology-019,qihua-physiology,18,18 心包三焦相火臣使與水道膜網,"18 Pericardium and Sanjiao: Ministerial Fire, the Envoy, and the Waterway Membrane Network",src/content/docs/qihua_physiology_concept/19-心包三焦相火臣使與水道膜網.md,src/content/docs/qihua_physiology_concept/心包三焦相火臣使與水道膜網.md,src/content/docs/en/qihua_physiology_concept/19-心包三焦相火臣使與水道膜網_英文.md,src/content/docs/en/qihua_physiology_concept/心包三焦相火臣使與水道膜網_英文.md,/qihua_physiology_concept/19-心包三焦相火臣使與水道膜網/,/en/qihua_physiology_concept/19-心包三焦相火臣使與水道膜網/
qihua-physiology-020,qihua-physiology,19,19 臟腑部位形象與內外連網,"19 Zang-Fu Location, Form, and Internal-External Networking",src/content/docs/qihua_physiology_concept/20-臟腑部位形象與內外連網.md,src/content/docs/qihua_physiology_concept/臟腑部位形象與內外連網.md,src/content/docs/en/qihua_physiology_concept/20-臟腑部位形象與內外連網_英文.md,src/content/docs/en/qihua_physiology_concept/臟腑部位形象與內外連網_英文.md,/qihua_physiology_concept/20-臟腑部位形象與內外連網/,/en/qihua_physiology_concept/20-臟腑部位形象與內外連網/
qihua-physiology-021,qihua-physiology,20,20 十二經相交與如環無端,20 The Twelve Channels Intersecting in an Endless Ring,src/content/docs/qihua_physiology_concept/21-十二經相交與如環無端.md,src/content/docs/qihua_physiology_concept/十二經相交與如環無端.md,src/content/docs/en/qihua_physiology_concept/21-十二經相交與如環無端_英文.md,src/content/docs/en/qihua_physiology_concept/十二經相交與如環無端_英文.md,/qihua_physiology_concept/21-十二經相交與如環無端/,/en/qihua_physiology_concept/21-十二經相交與如環無端/
qihua-physiology-022,qihua-physiology,21,21 衝任督帶與先後天交會,"21 Chong, Ren, Du, and Dai: The Meeting of Earlier and Later Heaven",src/content/docs/qihua_physiology_concept/22-衝任督帶與先後天交會.md,src/content/docs/qihua_physiology_concept/衝任督帶與先後天交會.md,src/content/docs/en/qihua_physiology_concept/22-衝任督帶與先後天交會_英文.md,src/content/docs/en/qihua_physiology_concept/衝任督帶與先後天交會_英文.md,/qihua_physiology_concept/22-衝任督帶與先後天交會/,/en/qihua_physiology_concept/22-衝任督帶與先後天交會/
qihua-physiology-023,qihua-physiology,22,22 六經解與十二經由六氣統攝,22 Explaining the Six Channels: Twelve Channels Governed by the Six Qi,src/content/docs/qihua_physiology_concept/23-六經解與十二經由六氣統攝.md,src/content/docs/qihua_physiology_concept/六經解與十二經由六氣統攝.md,src/content/docs/en/qihua_physiology_concept/23-六經解與十二經由六氣統攝_英文.md,src/content/docs/en/qihua_physiology_concept/六經解與十二經由六氣統攝_英文.md,/qihua_physiology_concept/23-六經解與十二經由六氣統攝/,/en/qihua_physiology_concept/23-六經解與十二經由六氣統攝/
qihua-physiology-029,qihua-physiology,23,23 六經開闔樞與審證大關鍵,"23 Opening, Closing, and Pivoting of the Six Channels: A Key to Pattern Examination",src/content/docs/qihua_physiology_concept/29-六經開闔樞與審證大關鍵.md,src/content/docs/qihua_physiology_concept/六經開闔樞與審證大關鍵.md,src/content/docs/en/qihua_physiology_concept/29-六經開闔樞與審證大關鍵_英文.md,src/content/docs/en/qihua_physiology_concept/六經開闔樞與審證大關鍵_英文.md,/qihua_physiology_concept/29-六經開闔樞與審證大關鍵/,/en/qihua_physiology_concept/29-六經開闔樞與審證大關鍵/
qihua-physiology-024,qihua-physiology,24,24 六氣解與主令化氣盛衰,"24 Explaining the Six Qi: Temporal Governance, Transformation, and Rise and Decline of Channel Qi",src/content/docs/qihua_physiology_concept/24-六氣解與主令化氣盛衰.md,src/content/docs/qihua_physiology_concept/六氣解與主令化氣盛衰.md,src/content/docs/en/qihua_physiology_concept/24-六氣解與主令化氣盛衰_英文.md,src/content/docs/en/qihua_physiology_concept/六氣解與主令化氣盛衰_英文.md,/qihua_physiology_concept/24-六氣解與主令化氣盛衰/,/en/qihua_physiology_concept/24-六氣解與主令化氣盛衰/
qihua-physiology-025,qihua-physiology,25,25 營氣運行與脈中日夜五十周,25 Nutritive Qi Circulation: Fifty Circuits Through the Vessels Day and Night,src/content/docs/qihua_physiology_concept/25-營氣運行與脈中日夜五十周.md,src/content/docs/qihua_physiology_concept/營氣運行與脈中日夜五十周.md,src/content/docs/en/qihua_physiology_concept/25-營氣運行與脈中日夜五十周_英文.md,src/content/docs/en/qihua_physiology_concept/營氣運行與脈中日夜五十周_英文.md,/qihua_physiology_concept/25-營氣運行與脈中日夜五十周/,/en/qihua_physiology_concept/25-營氣運行與脈中日夜五十周/
